comments,emoji
Any one in 2025,❤😂😂
Moving all song nice 🥰,👌
asdulm,❤
December 2024,😊
I love song ️,❤
Banno number 1,❤
Nice and Beautyful,❤
Sanjay kapoor looks so stunning.,😳😳😳
Vdssfrs,😂
"Whoever likes this song, give it a like here",😌
Bhaijaan,❤
I don’t know why I like this song but here I am 2024,😂😂
Chamiya 🤔,👉😘
Wow nice,❤❤❤❤❤
Assalamualaikum Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa Mohsin Aazam shaida Mohsin Salman Khan shifa,😅
"Karishma is more beautiful than  Aishwarya 
She is most beautiful 
She is natural beauty",❤❤❤😊😊😊
Anyone 2024,😂
Still he cheated ...So don't try to be number 1,😂😂
So nice  beautiful,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻
Classics,😂❤❤❤
Beautiful song 🤗,😍🙈
I love my bewi ️,❤💚
Only legend are watched September 1st 2024,😂
Yuh even wound jus hehfueiwjrhjwowtjejrjrj,😢😢😢
Iehfjryvdgerrthththjryjrierhtjetueutjfjfirjejyej,❤❤😢🎉😮❤❤❤❤
1:22 the clown 🤡 looks creepy ...i found it so scary even im a big adult guy now,😰😰
I Love you,❤
Bısmıllah…. HadıR,❤🎉🎉🎉
This joker is actually scary .....and the voice he makes,😂
Aamıın…,❤🎉
Listening this in 2089,😚❤
2024 July attendance,❤
Injoy full movie with,🍿
Afroj  KAfiya nek duniya qudrat nek ban jaegarl  aansu,🎉🎉🎉🎉❤❤❤❤😊😊😊😊😢
Who is listening in july 2024,😅😅😅
Eeee vooooee irritating yllll,😂
Kal black dog triple gold reserve drink karke dekhunga....... Movie kal ye,🎥
2024 present,❤
Who is listening in 2050,😊
Niharu you kill me in yellow saree with out knife,❤😂😂😂😂😂😂
Me,❤❤
Who is listening this song in june 2024?,😂😂😂😂❤❤❤❤
"Rhjdhjdgfidvfzksfks 
Gfcbcvmtvvxgchdb",🎉🎉🎉🎉😅😅😅😅😢😢😢😢❤❤❤❤
2mmr is commerce exam and I m listening this song 🥴,😌
"2024,,,may 17 ase suntchiii️",❤
good,😂😂😂👍👍😊
Abhjit da at his very best ...,❤❤❤
Nice song ️🤭,❤👌
I love you ️️ I miss you too,❤❤💞😘😘
Baby ️️,❤🍼😗❤
30 April 2024,❤
Old is gold,👊🏻👊🏻
Beautiful jodi...,👍🏾👍🏾
Super,❤❤❤
Bb nberone,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢😢😢😢🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
Sushmita,🔥
2024 wale attendence lagaoo,❤❤
2024  from  indonesia,❤🇮🇩
JAYA ASHISH 2098,🚩🌹🌎
Bibi no1,❤❤❤❤❤
JAYA ASHISH 2098,❤🌹🌏
Free Palestine and save gaza,😢😢😢😢😢😢😢😢😢😢😢
My favourite Bollywood couple in Indian movie industry along side srk and kajol,❤
The Best Pair in Bollywood ️,🙌🏽❤
My favourite song,❤
"Are wha
Very nice",👍👍
Yeah,👍
Beautifully sung by Abhijeet Bhattacharya,👏
سادس أ عرس مافي بس سادس ب كلهم شاطرين مؤدبين الى سادس أ,❤❤❤❤❤❤❤❤❤
Super,❤
Haha,😂😂😂
Hayeee<3 fvrt song,💗😅
Salman king star,🎉😂😂❤❤😂
"ggffghh,ggfjhhvcjb,chxsjdjdjcdlvv,",🎉
2023  Biwi,💕💕💕💕
I love this song,❤
.1ree111011111 is q11q1 a aqa qq and win cash exciting  for the 2nd century and the 2nd,😂😂😮😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😘
"26JAYA BIBI NO 1156 
 Rose",❤🌹🇨🇮🌏
top,❤
Movie  link,🎥❤
kangen masa kecil sama lagu ini,❤
Me an my husband,💞
To good hahahahahahaha,❤❤❤
my favourite Bollywood couples Salman and Karishma,❤❤
TX life line,😊❤
Very nice song lyrics,👍👍👍👍👍👍👍👍👍
Thank you,🙏
Karishma too cutee,❤❤
So sweet,😘
I love salman khan 🥰,💕😘💕
Awesome song,👍👍👍❤❤❤❤
listening in 2023,😂❤😂🔥
Love you bhaijaan and karishma didi,❤❤❤❤❤
1:43 to 2:13 ️ apni shaadi ke lie prepare krunga,❤😸
"Man praises his wife like this, still cheats on her.",😅😂😅
