comments,emoji
Afroj हीरो नेक bestfrendgrl शुभ शुक्रवार,😊🎉❤
बीवी ना होने के बावजूद गाना सुन रहा हूं,😂
ये हुईं न बात lve you  मेरा सोना बच्चा,😂😂😂😂😂😂❤😘😂
मतबल कि बेटा जी सच में इंतजार के मूड में नहीं है  आपकी जिद जायज है मेरी सोनी गुड़िया  अब मैं उत्कर्ष कोचिंग जा रहा हूं और कमरे पर आपके सोचता हूं कि मैं अपने बेटे के लिए क्या कर सकता हूं  तो बिट्टू जी.. आपका अभी हल्का सा मुस्कुराना बनता है,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
मतबल कि बेटा जी को 2 घंटे का इंतजार भी मुश्किल हो रहा है और मैं 2 दिन की बात कर रहा हूं  हद हो गई है,😂😂😂😂😂😂😂😂😂😂
और.... बेटा जी को पूरा यकीन है कि मुझे बेटा जी की औकात कायदे से पता है  गुड़िया रानी... मुझे आपकी औकात पता है इसीलिए तो आपसे request करके 2 दिन का time मांगा है,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
मतबल कि बेटा जी अब और इंतजार के मूड में बिल्कुल नहीं है  इसलिए मुझे जल्दी ही कुछ करना चाहिए  ऐसी बेटा जी की इच्छा है,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
बिट्टू... खाना खा लिया हूं और now I am taking rest  और अब मैं कुछ देर fb देखूंगा,😂😂😂😂😂😂😂😂😂😂😂😂
बिट्टू... ठंडी में स्नान करने के बाद अलग मजा आता है  गुड़िया रानी.. अब मैं खाना खाने चल रहा हूं,😂😂😂😂🎉😂😂
ये हुई ना बात lve you  मेरा सोना बच्चा,😂😂😂😂😂😂😂❤😘😂
मेरी सोनी प्यारी सी गुड़िया रानी... अब मैं स्नान करने चल रहा हूं और चूंकि अभी आपकी बहुत ज्यादा याद आ रही है इसलिए हल्का सा मुस्करा दीजिए,😂😂😂😂😂😂😂😂
बेटू... चाय पीकर कमरे पर आ गया हूं और अब मैं दाल में तड़का लगाने चल रहा हूं,😂😂😂😂😂😂😂
"दिन भर काम करो और और बीवी नंबर वन बीवी नंबर वन होने लगी,,",😂😂😂😂😅😁😆😜😝
ये तो कुछ भी नी घर मे शांति रखने के लिए मै तो इससे भी ज्यादा तारीफ़ करता हू,❤😂😂😂
"ॐੴ जय गुरु जी  ੴॐ♥️
♥️ शुकराना गुरुजी♥️
♥️Bℓєѕѕιиgѕ Aℓωαуz Guru Ji♥️",🌹🙏🏻🌹🌹🙏🏻🙏🌹🌹🙏
कोई तोड़ नहीं 90ts के गानों का,❤❤❤❤
कौन कौन अभी सुन रहा है,😅
बिहारसे कौन कौन है,🎉
आज कौन सुन रहा है,😂
01/01/2025 को कोन कोन सुन रहा हैं,❤
Ese वाले गाने  लोकल बसेस मेंचलते हैं,😂
कोन कोन 2025मे देख रहे हैं ये गाना,❤❤❤
2025 में कौन सुन रहा है,❤
आप सभी को meri तरफ से नई साल की हार्दिक शुभ कामनायें,❤❤🎉🎉🎉🎉🎉
कौन कौन 2025 में सुन रहा है1st january 2025,❤❤❤❤❤❤
2025 की शुरुआत january 1.,😊😊😊
बचपन का याद आ गया miss you,😢😢😢😢
किन किन तो अच्छा लगता है,❤❤❤❤
